Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
Dian Agung Simatupang,1,"Halo selamat malam admin, untuk anime ONE PIECE, episode 751-1088 kenapa tidak ada ya? Mohon ditanggapi, terima kasih🙏",2025-10-06 13:15:59,,0,627207f4-3d51-46f0-abb6-d0b7f6adc77c,"halo selamat malam admin, untuk anime one piece, episode 751-1088 kenapa tidak ada ya? mohon ditanggapi, terima kasih🙏","['Halo', 'selamat', 'malam', 'admin', ',', 'untuk', 'anime', 'ONE', 'PIECE', ',', 'episode', '751-1088', 'kenapa', 'tidak', 'ada', 'ya', '?', 'Mohon', 'ditanggapi', ',', 'terima', 'kasih🙏']","['halo', 'selamat', 'malam', 'admin', ',', 'untuk', 'anim', 'one', 'piec', ',', 'episod', '751-1088', 'kenapa', 'tidak', 'ada', 'ya', '?', 'mohon', 'ditanggapi', ',', 'terima', 'kasih🙏']","['halo', 'selamat', 'malam', 'admin', 'untuk', 'anim', 'one', 'piec', 'episod', 'kenapa', 'tidak', 'ada', 'ya', 'mohon', 'ditanggapi', 'terima']",halo selamat malam admin untuk anim one piec episod kenapa tidak ada mohon ditanggapi terima,"[('halo', 'selamat'), ('selamat', 'malam'), ('malam', 'admin'), ('admin', 'untuk'), ('untuk', 'anim'), ('anim', 'one'), ('one', 'piec'), ('piec', 'episod'), ('episod', 'kenapa'), ('kenapa', 'tidak'), ('tidak', 'ada'), ('ada', 'ya'), ('ya', 'mohon'), ('mohon', 'ditanggapi'), ('ditanggapi', 'terima')]","[('halo', 'selamat', 'malam'), ('selamat', 'malam', 'admin'), ('malam', 'admin', 'untuk'), ('admin', 'untuk', 'anim'), ('untuk', 'anim', 'one'), ('anim', 'one', 'piec'), ('one', 'piec', 'episod'), ('piec', 'episod', 'kenapa'), ('episod', 'kenapa', 'tidak'), ('kenapa', 'tidak', 'ada'), ('tidak', 'ada', 'ya'), ('ada', 'ya', 'mohon'), ('ya', 'mohon', 'ditanggapi'), ('mohon', 'ditanggapi', 'terima')]"
Nadya Dwi lestari,1,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,2025-10-06 11:18:34,,0,3e060c7c-e318-49a3-a3af-2e133070730c,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,"['rating', 'ga', 'seberapa', 'loginnya', 'susah', 'minta', 'ampun', 'mana', 'mahal', 'bayarnya', 'kocakk', 'pantesan', 'sepi', '🤣🤣']","['rate', 'ga', 'seberapa', 'loginnya', 'susah', 'minta', 'ampun', 'mana', 'mahal', 'bayarnya', 'kocakk', 'pantesan', 'sepi', '🤣🤣']","['rate', 'ga', 'seberapa', 'loginnya', 'susah', 'minta', 'ampun', 'mana', 'mahal', 'bayarnya', 'kocakk', 'pantesan', 'sepi']",rate seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi,"[('rate', 'ga'), ('ga', 'seberapa'), ('seberapa', 'loginnya'), ('loginnya', 'susah'), ('susah', 'minta'), ('minta', 'ampun'), ('ampun', 'mana'), ('mana', 'mahal'), ('mahal', 'bayarnya'), ('bayarnya', 'kocakk'), ('kocakk', 'pantesan'), ('pantesan', 'sepi')]","[('rate', 'ga', 'seberapa'), ('ga', 'seberapa', 'loginnya'), ('seberapa', 'loginnya', 'susah'), ('loginnya', 'susah', 'minta'), ('susah', 'minta', 'ampun'), ('minta', 'ampun', 'mana'), ('ampun', 'mana', 'mahal'), ('mana', 'mahal', 'bayarnya'), ('mahal', 'bayarnya', 'kocakk'), ('bayarnya', 'kocakk', 'pantesan'), ('kocakk', 'pantesan', 'sepi')]"
Ali Tolip,1,Payah gak bisa dibuka percuma di donload,2025-10-06 11:05:04,,0,fb78f28c-0ef2-46e1-bbb7-6f66bbb87569,payah gak bisa dibuka percuma di donload,"['Payah', 'gak', 'bisa', 'dibuka', 'percuma', 'di', 'donload']","['payah', 'gak', 'bisa', 'dibuka', 'percuma', 'di', 'donload']","['payah', 'gak', 'bisa', 'dibuka', 'percuma', 'di', 'donload']",payah gak bisa dibuka percuma donload,"[('payah', 'gak'), ('gak', 'bisa'), ('bisa', 'dibuka'), ('dibuka', 'percuma'), ('percuma', 'di'), ('di', 'donload')]","[('payah', 'gak', 'bisa'), ('gak', 'bisa', 'dibuka'), ('bisa', 'dibuka', 'percuma'), ('dibuka', 'percuma', 'di'), ('percuma', 'di', 'donload')]"
Namira Ilyas,5,good,2025-10-06 10:45:08,,0,c6c57d92-2cec-44a1-98ea-7ab319a9203a,good,['good'],['good'],['good'],good,[],[]
Infinix Hijau,5,kualitas flimnya bagus sekali,2025-10-06 10:12:45,,0,93909c99-6d10-47db-9285-098bb109496d,kualitas flimnya bagus sekali,"['kualitas', 'flimnya', 'bagus', 'sekali']","['kualita', 'flimnya', 'bagu', 'sekali']","['kualita', 'flimnya', 'bagu', 'sekali']",kualita flimnya bagu sekali,"[('kualita', 'flimnya'), ('flimnya', 'bagu'), ('bagu', 'sekali')]","[('kualita', 'flimnya', 'bagu'), ('flimnya', 'bagu', 'sekali')]"
Zufarpolo Zura,5,Gpp bagus aja😊,2025-10-06 10:06:28,,0,9b031527-37e6-4d7f-87ed-087798255198,gpp bagus aja😊,"['Gpp', 'bagus', 'aja😊']","['gpp', 'bagu', 'aja😊']","['gpp', 'bagu']",gpp bagu,"[('gpp', 'bagu')]",[]
Jesriman si,1,sudah berhenti berlangganan masih aja saldo sya dikuras,2025-10-06 08:46:32,,0,6b8cdd42-08ef-4beb-a6a3-7767c31921de,sudah berhenti berlangganan masih aja saldo sya dikuras,"['sudah', 'berhenti', 'berlangganan', 'masih', 'aja', 'saldo', 'sya', 'dikuras']","['sudah', 'berhenti', 'berlangganan', 'masih', 'aja', 'saldo', 'sya', 'dikura']","['sudah', 'berhenti', 'berlangganan', 'masih', 'aja', 'saldo', 'sya', 'dikura']",sudah berhenti berlangganan masih aja saldo sya dikura,"[('sudah', 'berhenti'), ('berhenti', 'berlangganan'), ('berlangganan', 'masih'), ('masih', 'aja'), ('aja', 'saldo'), ('saldo', 'sya'), ('sya', 'dikura')]","[('sudah', 'berhenti', 'berlangganan'), ('berhenti', 'berlangganan', 'masih'), ('berlangganan', 'masih', 'aja'), ('masih', 'aja', 'saldo'), ('aja', 'saldo', 'sya'), ('saldo', 'sya', 'dikura')]"
DIKI 5529B,1,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",2025-10-06 08:11:47,,0,670dc12a-e392-4414-abf8-110af46e8dda,"assalamu'alaikum. kpd yg terhormat aplikasi netflix. aplikasi satu satu nya yg sangat jelek. begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga indonesia yg kurang mampu. ngapain di buat aplikasi sejelek ini. saya sangat kecewa.","[""Assalamu'alaikum"", '.', 'Kpd', 'yg', 'terhormat', 'aplikasi', 'netflix', '.', 'Aplikasi', 'satu', 'satu', 'nya', 'yg', 'sangat', 'jelek', '.', 'Begitu', 'saya', 'download', ',', 'dan', 'saya', 'coba', 'daftar', 'pakek', 'gmail', ',', 'langsung', 'di', 'arah', 'kan', 'ke', 'gmail', ',', 'di', 'suruh', 'bayar', '54.000.itu', 'kita', 'sebagai', 'warga', 'Indonesia', 'yg', 'kurang', 'mampu', '.', 'Ngapain', 'di', 'buat', 'aplikasi', 'sejelek', 'ini', '.', 'Saya', 'sangat', 'kecewa', '.']","[""assalamu'alaikum"", '.', 'kpd', 'yg', 'terhormat', 'aplikasi', 'netflix', '.', 'aplikasi', 'satu', 'satu', 'nya', 'yg', 'sangat', 'jelek', '.', 'begitu', 'saya', 'download', ',', 'dan', 'saya', 'coba', 'daftar', 'pakek', 'gmail', ',', 'langsung', 'di', 'arah', 'kan', 'ke', 'gmail', ',', 'di', 'suruh', 'bayar', '54.000.itu', 'kita', 'sebagai', 'warga', 'indonesia', 'yg', 'kurang', 'mampu', '.', 'ngapain', 'di', 'buat', 'aplikasi', 'sejelek', 'ini', '.', 'saya', 'sangat', 'kecewa', '.']","['kpd', 'yg', 'terhormat', 'aplikasi', 'netflix', 'aplikasi', 'satu', 'satu', 'nya', 'yg', 'sangat', 'jelek', 'begitu', 'saya', 'download', 'dan', 'saya', 'coba', 'daftar', 'pakek', 'gmail', 'langsung', 'di', 'arah', 'kan', 'ke', 'gmail', 'di', 'suruh', 'bayar', 'kita', 'sebagai', 'warga', 'indonesia', 'yg', 'kurang', 'mampu', 'ngapain', 'di', 'buat', 'aplikasi', 'sejelek', 'ini', 'saya', 'sangat', 'kecewa']",kpd terhormat aplikasi netflix aplikasi satu satu nya sangat jelek begitu saya download dan saya coba daftar pakek gmail langsung arah kan gmail suruh bayar kita sebagai warga indonesia kurang mampu ngapain buat aplikasi sejelek ini saya sangat kecewa,"[('kpd', 'yg'), ('yg', 'terhormat'), ('terhormat', 'aplikasi'), ('aplikasi', 'netflix'), ('netflix', 'aplikasi'), ('aplikasi', 'satu'), ('satu', 'satu'), ('satu', 'nya'), ('nya', 'yg'), ('yg', 'sangat'), ('sangat', 'jelek'), ('jelek', 'begitu'), ('begitu', 'saya'), ('saya', 'download'), ('download', 'dan'), ('dan', 'saya'), ('saya', 'coba'), ('coba', 'daftar'), ('daftar', 'pakek'), ('pakek', 'gmail'), ('gmail', 'langsung'), ('langsung', 'di'), ('di', 'arah'), ('arah', 'kan'), ('kan', 'ke'), ('ke', 'gmail'), ('gmail', 'di'), ('di', 'suruh'), ('suruh', 'bayar'), ('bayar', 'kita'), ('kita', 'sebagai'), ('sebagai', 'warga'), ('warga', 'indonesia'), ('indonesia', 'yg'), ('yg', 'kurang'), ('kurang', 'mampu'), ('mampu', 'ngapain'), ('ngapain', 'di'), ('di', 'buat'), ('buat', 'aplikasi'), ('aplikasi', 'sejelek'), ('sejelek', 'ini'), ('ini', 'saya'), ('saya', 'sangat'), ('sangat', 'kecewa')]","[('kpd', 'yg', 'terhormat'), ('yg', 'terhormat', 'aplikasi'), ('terhormat', 'aplikasi', 'netflix'), ('aplikasi', 'netflix', 'aplikasi'), ('netflix', 'aplikasi', 'satu'), ('aplikasi', 'satu', 'satu'), ('satu', 'satu', 'nya'), ('satu', 'nya', 'yg'), ('nya', 'yg', 'sangat'), ('yg', 'sangat', 'jelek'), ('sangat', 'jelek', 'begitu'), ('jelek', 'begitu', 'saya'), ('begitu', 'saya', 'download'), ('saya', 'download', 'dan'), ('download', 'dan', 'saya'), ('dan', 'saya', 'coba'), ('saya', 'coba', 'daftar'), ('coba', 'daftar', 'pakek'), ('daftar', 'pakek', 'gmail'), ('pakek', 'gmail', 'langsung'), ('gmail', 'langsung', 'di'), ('langsung', 'di', 'arah'), ('di', 'arah', 'kan'), ('arah', 'kan', 'ke'), ('kan', 'ke', 'gmail'), ('ke', 'gmail', 'di'), ('gmail', 'di', 'suruh'), ('di', 'suruh', 'bayar'), ('suruh', 'bayar', 'kita'), ('bayar', 'kita', 'sebagai'), ('kita', 'sebagai', 'warga'), ('sebagai', 'warga', 'indonesia'), ('warga', 'indonesia', 'yg'), ('indonesia', 'yg', 'kurang'), ('yg', 'kurang', 'mampu'), ('kurang', 'mampu', 'ngapain'), ('mampu', 'ngapain', 'di'), ('ngapain', 'di', 'buat'), ('di', 'buat', 'aplikasi'), ('buat', 'aplikasi', 'sejelek'), ('aplikasi', 'sejelek', 'ini'), ('sejelek', 'ini', 'saya'), ('ini', 'saya', 'sangat'), ('saya', 'sangat', 'kecewa')]"
riyanti 27,1,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,2025-10-06 07:20:09,,0,83963fef-3685-40e9-a184-c91ece3e3917,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid mulu,"['loginnya', 'susah', 'bgt', 'gilak', 'padahal', 'sandi', 'email', 'ama', 'no', 'hp', 'ga', 'salahhh', 'lohhh', 'knp', 'ga', 'valid', 'Mulu']","['loginnya', 'susah', 'bgt', 'gilak', 'padah', 'sandi', 'email', 'ama', 'no', 'hp', 'ga', 'salahhh', 'lohhh', 'knp', 'ga', 'valid', 'mulu']","['loginnya', 'susah', 'bgt', 'gilak', 'padah', 'sandi', 'email', 'ama', 'hp', 'ga', 'salahhh', 'lohhh', 'knp', 'ga', 'valid', 'mulu']",loginnya susah bgt gilak padah sandi email ama salahhh lohhh knp valid mulu,"[('loginnya', 'susah'), ('susah', 'bgt'), ('bgt', 'gilak'), ('gilak', 'padah'), ('padah', 'sandi'), ('sandi', 'email'), ('email', 'ama'), ('ama', 'hp'), ('hp', 'ga'), ('ga', 'salahhh'), ('salahhh', 'lohhh'), ('lohhh', 'knp'), ('knp', 'ga'), ('ga', 'valid'), ('valid', 'mulu')]","[('loginnya', 'susah', 'bgt'), ('susah', 'bgt', 'gilak'), ('bgt', 'gilak', 'padah'), ('gilak', 'padah', 'sandi'), ('padah', 'sandi', 'email'), ('sandi', 'email', 'ama'), ('email', 'ama', 'hp'), ('ama', 'hp', 'ga'), ('hp', 'ga', 'salahhh'), ('ga', 'salahhh', 'lohhh'), ('salahhh', 'lohhh', 'knp'), ('lohhh', 'knp', 'ga'), ('knp', 'ga', 'valid'), ('ga', 'valid', 'mulu')]"
Elly Ezra,5,netflix seru yang drama,2025-10-06 07:10:23,,0,bd24660f-f114-4bf9-88d4-ceb2459a5599,netflix seru yang drama,"['netflix', 'seru', 'yang', 'drama']","['netflix', 'seru', 'yang', 'drama']","['netflix', 'seru', 'yang', 'drama']",netflix seru yang drama,"[('netflix', 'seru'), ('seru', 'yang'), ('yang', 'drama')]","[('netflix', 'seru', 'yang'), ('seru', 'yang', 'drama')]"
