Ulasan_Bersih;Labels;
halo selamat malam admin anime one piece episode kenapa mohon ditanggapi terima kasih;Netral;
rating seberapa login susah minta ampun mahal bayar kocak pantes sepi;Negatif;
payah dibuka percuma donload;Negatif;
good;Positif;
kualitas flim bagus sekali;Positif;
bagus;Positif;
sudah berhenti berlanggan masih saldo sya dikuras;Negatif;
assala alaikum terhormat satu satu sangat jelek begitu download coba daftar pakek gmail langsung arah gmail bayar sebagai warga indonesia kurang mampu ngapain buat sejelek sangat kecewa;Negatif;
login susah gilak padahal sandi ama salah valid;Netral;
seru drama;Netral;
streaming check oke wifi lancar video muter2 sudah selesai muter muncul2 video makin jelas apk;Negatif;
tambahin fitur tonton nanti min fitur daftar pantes cum buat film favorite film;Netral;
aneh tiba tiba saldo terpotong transaksi munuju berlanggan pernah pakai punya kenapa saldo terpotong tiba tiba aneh;Netral;
download jelas;Positif;
bagus;Positif;
cukup menarik kalau buk bayar sekali bayar;Positif;
jelek lebih bagus sebe tahu kah lebih suka sebe;Negatif;
tempat nonton paling favorit pokok;Netral;
lumay bagus walau masih film pengen nonton sudah bagus film film juga berkualitas;Netral;
kecewa sudah daftar sudah bayar malah log alas ganggu terus;Negatif;
sangat menyenang;Positif;
sudah berlanggan kualitas masih jelek eek;Negatif;
susah;Negatif;
juga download masuk sulit sekali harus kepake padahal nonton ribet uninstal;Negatif ;
buruk;Negatif;
very good;Positif;
jelek;Negatif ;
setiap nonton loading terus aneh;Netral;
terima kasih sangat mempermudah nonton drakor;Positif ;
pembayar oto debit shope menyusah ubah pembayar via shope manual;Netral;
gabisa nonton;Netral;
maksud kenapa pembayar langsung ambil uang dana tanpa minta verifikasi konfirmasi jga punya kebutuh lain belum bayar kalau blum terpenuhi kebutuh lain kurang ajar memang kau;Negatif;
sudah bayar kalau nonton dihp ancur ngeglitch;Negatif ;
gabisa login pdhal gmail sama sandi;Netral;
login;;
login bayar masuk2 parah sitem;;
tambah banyak film sampai menjadi film baja gratis google;;
Nyesel daftar bayar film lengkap nipu;;
kenapa smart kebuka;Netral;
orang nonton dipersulit login saranin kalau pake apk lebih baik cari apk lain;Negatif;
bagus;Positif;
dikasih masuk gimana coba masa kasih;Netral;
sudah berhenti berlanggan uang rekening ambil orang sudah berhenti masih ngambil sudah kaya nyolong;Negatif;
susah sekali daftar harus membayar padahal nama sudah benar tetap;Negatif;
login gagal terus padahal utama sekarang masuk gara kesering login sia isi buang uang;;
donlod termasuk peraas;;
gambar brebek jelas percuma langgan padahal sudah support wifi gambar brebek kaya kaset kusut recommen;Negatif;
buat semua orang terpengaruh mungkin membuat bahagia kebanya indonesia rata rata semua tertarik mohon hapus agar orang nonton;Negatif ;
daftar sangat rumit bagus;Netral;
apa2n sudah isi langgan malah kluar sndiri jelas masuk;Negatif;
banyak agenda;;
parah padahal sudah berhenti berlanggan tiba tiba dana sedot secara otomatis padahal apk sudah hapus terpaksa download gara gara saldo potong otomatis heem;Negatif;
padahal sudah langgan saldo potong seenak kesel;Negatif;
eror;Negatif;
ribet;Negatif;
memutar film muncul kesalah e10 terus tab juga parah sudah bayar langgan langkah2 ribet hasil diputar film semua nyesel langgan;Negatif;
nyesel daftar bayar film lengkap nipu;Negatif;
kesel sama film bagus cut dilanjut season banyak malah kli liat rating orng nonton donk kalau rating bagus lanjutin berdasar quantity kadang season pertama cari applikasi lain pertama mending lanjut nonton disana;Netral;
coba semoga lancar;Netral;
ingin berhenti langgan gimana cara soal pernah merasa berlanggan tiba notice dana potong topup kasih tau cara berhenti berlanggan;Netral;
kaga jelas anj kaga login perbaiki developer;Negatif;
opsional;;
dubbing indonesia harus semua acara harus masa dubbing suara asli sama suara dubbing;Netral;
lol berlanggan malah potong saldo dana;Netral;
the best;Positif;
aneh donload2 padahal gratis;Netral;
subtitle aneh seperti langsung translate google mengguna bahasa baku aneh padahal berbayar subtitle sembarang jauh lebih bagus subtitle film baja perbaiki subtitle kali nyam menonton jika subtitle jelas;Negatif;
biasa bagus smakin kesini jelas bsa nonton harus bkin biasa nonton ribet tiap hari rumah nonton bsa bayar ngbisin lnggan dana kosongin kalau isi psti lngsung potong bakal uniinstal;Negatif;
gabisa masuk mohon diperbaiki;Negatif;
hati2x bnyak film isi non binary gender fluid aplagi film anak2x ngajarin gender;;
saldo gue kepotong cara berhenti gimana anj;Negatif;
sekedar sar agar lebih memperbanyak film terbaru bioskop agar pilih terbaik bagi para penikmat;Netral;
langgan batal saldo kembali;;
belum kebuka;;
seru;Positif;
berlanggan mending film jadul semua;;
kenapa harus berbayar kasih keringan agar ndak punya nonton buat hibur lihat ulas dibawah sampai kepotong kali nyesel download tadi sudah hapus ndak nonton film;Negatif;
jelek;Negatif;
aduh login kakak;;
pilih metode pembayar;;
bayar;;
the best;Positif;
padahal seingat ngak pernah pencet beli malah tiba beli langsung ilang dana ngak prosedur gimana langsung beli bingung tiba kebeli;Negatif;
