Ulasan_Bersih;Labels;,sentiment
kualitas gambar atur langsung kaya dulu penurun kah;Negatif;,Negatif
sangat bagus sekali;Positif;,Positif
bagus;Positif;,Positif
berguna;Positif;,Positif
mending nonton steel bal run website baja daripada;Negatif;,Negatif
sign membuat allah nauzubil apk something went wrong terus babi membuat apk kagak guna;Negatif;,Negatif
parah padahal sudah berhenti berlanggan tiba tiba dana sedot secara otomatis padahal apk sudah hapus terpaksa download gara gara saldo potong otomatis heem;Negatif;,Negatif
ribet;Negatif;,Negatif
good;Positif;,Positif
pendaftar ribet;Negatif;,Negatif
daftar sangat rumit bagus;Netral;,Netral
sinyal ful nonton;Netral;,Netral
film2 didonlot bahasa indonesia lgi kalau nonton langsung abiz upgrade;Netral;,Netral
gabisa login pdhal gmail sama sandi;Netral;,Netral
bagus sekedar sar kalau rilis film bioskop cepet soal kasih sudah terlanjur beli vip malah film ditunggu tunggu belum masuk;Positif;,Positif
padahal sudah punya masukin malah login sudah berapa kali ganti sandi gmail sama minta sama malah daftar arahin kelink gmail link chrome harus berlanggan dulu baru masuk ribet nonton film kalau gmail sudah tersangkut apk kalau login langsung masuk walau non langgan mah kga;Netral;,Netral
boros baterai padahal sudah pakai penghemat baterai;Negatif;,Negatif
bagus;Positif;,Positif
mohon pihak membaca ulas para costumer disini juga ingin menyampai bahwa sudah hampir sekitar belakang saat ingin nonton putar sekali diputar gambar malah pecah seperti nonton resolusi jam bahula padahal rumah masa krna apk lain nonton jernih lancar pihak memperhati kepuas para costumer;Negatif;,Negatif
bagus;Positif;,Positif
kesel sama film bagus cut dilanjut season banyak malah kli liat rating orng nonton donk kalau rating bagus lanjutin berdasar quantity kadang season pertama cari applikasi lain pertama mending lanjut nonton disana;Netral;,Netral
film bagus bagus;Positif;,Positif
sangat buruk;Negatif;,Negatif
bagus suka nonton drama;Positif;,Positif
sudah putus anggota saldo rekening tetap terpotong;Negatif;,Negatif
bagus sekali suka;Positif;,Positif
sang membantu;Positif;,Positif
bagus;Positif;,Positif
seru;Positif;,Positif
jelas sudah langgan tiba2 transaksi langgan otomatis semua sudah nonaktif beda lebih mahal tadi pernah langan terpaksa donlot hapus langan nyusahin;Negatif;,Negatif
keren walau sudah banyak film drama anime mendadak hilang;Netral;,Netral
suka film asli walau harus berbayar tetap suka nonton;Positif;,Positif
susah sekali daftar harus membayar padahal nama sudah benar tetap;Negatif;,Negatif
coba semoga lancar;Netral;,Netral
kurang ketika daftar melalui gmail masukin sandi benar bilang salah perbaiki bagus;Positif;,Positif
kenapa harus berbayar kasih keringan agar ndak punya nonton buat hibur lihat ulas dibawah sampai kepotong kali nyesel download tadi sudah hapus ndak nonton film;Negatif;,Negatif
the best;Positif;,Positif
apk sudah dibayar play film padahal coba apk sebelh malah lancar hadeh rusak rusak;Negatif;,Negatif
jelek;Negatif;,Negatif
susah;Negatif;,Negatif
