Nama Pengguna;Skor (Bintang);Ulasan Teks;Tanggal Ulasan;Balasan Pengembang;Jumlah Like;ID Ulasan
yosua satria.p15;5;Saya mengalami masalah pada aplikasi bca mobile saya. Saya menghapus data aplikasi kemudian saya ingin login ulang namun setelah saya menyetujui persyaratan bca saya tidak bisa menekan tombol lanjut. Bagaimanakah saya dapat memperbaiki masalah tersebut?;2025-10-10 15:27:43;"Mohon maaf atas ketidaknyamanan yang Bapak/Ibu alami, pastikan aplikasi Bapak/Ibu sudah versi terbaru jaringan internet dalam keadaan baik dan stabil tidak disarankan menggunakan wifi setelah itu dapat mencoba kembali di lain waktu.

";0;12bc256c-01d8-42ef-a7d5-111d483a3b10
Viewnanda Kenia;4;ok;2025-10-10 14:25:43;"Thank you for the review. Hopefully the BCA mobile application will make your banking transactions easier.

";0;86907035-3af7-412e-a034-80f831c09783
Gede Wirawan;1;tidak bisa membantu karena aplikasi susah di buka;2025-10-10 14:20:45;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;a8c3f322-76e0-42b0-81d6-bb2ae9335e02
umam k.s;5;m banking paling busuk verivikasi ga berhasil2;2025-10-10 14:13:34;"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.

";0;53991c63-1501-40a1-abc3-d7e8e2410865
Novan Sagita;5;ok;2025-10-10 14:09:21;Thank you for the review. Hopefully the BCA mobile application will make your banking transactions easier.;0;e722d49e-6bff-4eae-82d4-84017745b6b4
Rizal Widy;1;aplikasi jelek sekali,mau verifikasi gagal terus sampe pulsa habis.baru ini pake m-banking yg ribet dan GK jelas;2025-10-10 13:50:30;Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.;0;a9777ed0-a9fd-43db-8f2e-6bf629b490f2
F K;3;sinya HP bagus tp indikator sinyal di BCA Mobile merah terus gak jelas;2025-10-10 13:27:04;Mohon maaf atas ketidaknyamanan yang Bapak/Ibu alami, pastikan aplikasi Bapak/Ibu sudah versi terbaru jaringan internet dalam keadaan baik dan stabil tidak disarankan menggunakan wifi setelah itu dapat mencoba kembali di lain waktu.;0;78fd221e-572f-4083-9e8d-3d9789b2e606
Imam Subrata;1;Tolong ditambahkan agar nama pemilik dan nomor rek bisa tampil 1 layar, utk keperluan dokumentasi apabila buku tabungan hilang. maaf bintang 1 agar supaya cepat di atensi🙏;2025-10-10 13:20:47;Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.;0;4d6e9fce-37e8-4e90-9092-3c41c1d1575e
Ocang Idris;1;ga bisa masuk masuk sampe pulsa habiss emangg tolol;2025-10-10 12:21:26;"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.
";0;24d49b56-e479-48fe-bae2-c4ab79851b41
Putra Febby;1;ribet mau pake dua sim aja harus verifikasi;2025-10-10 12:12:26;"Mohon maaf atas kendala yang Bapak/Ibu alami. Untuk mengakses m-BCA pada aplikasi BCA mobile mohon dipastikan nomor HP m-BCA berada pada slot SIM 1, menggunakan jaringan internet dari nomor HP m-BCA yang terdaftar, memiliki ketersediaan pulsa yang cukup serta tidak menggunakan WiFi.
";0;8de8c9c8-5978-4caa-b647-0b4ee1151e0f
