Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan
Dian Agung Simatupang,1,"Halo selamat malam admin, untuk anime ONE PIECE, episode 751-1088 kenapa tidak ada ya? Mohon ditanggapi, terima kasih🙏",2025-10-06 13:15:59,,0,627207f4-3d51-46f0-abb6-d0b7f6adc77c
Nadya Dwi lestari,1,rating ga seberapa loginnya susah minta ampun mana mahal bayarnya kocakk pantesan sepi 🤣🤣,2025-10-06 11:18:34,,0,3e060c7c-e318-49a3-a3af-2e133070730c
Ali Tolip,1,Payah gak bisa dibuka percuma di donload,2025-10-06 11:05:04,,0,fb78f28c-0ef2-46e1-bbb7-6f66bbb87569
Namira Ilyas,5,good,2025-10-06 10:45:08,,0,c6c57d92-2cec-44a1-98ea-7ab319a9203a
Infinix Hijau,5,kualitas flimnya bagus sekali,2025-10-06 10:12:45,,0,93909c99-6d10-47db-9285-098bb109496d
Zufarpolo Zura,5,Gpp bagus aja😊,2025-10-06 10:06:28,,0,9b031527-37e6-4d7f-87ed-087798255198
Jesriman si,1,sudah berhenti berlangganan masih aja saldo sya dikuras,2025-10-06 08:46:32,,0,6b8cdd42-08ef-4beb-a6a3-7767c31921de
DIKI 5529B,1,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",2025-10-06 08:11:47,,0,670dc12a-e392-4414-abf8-110af46e8dda
riyanti 27,1,loginnya susah bgt gilak padahal sandi email ama no hp ga salahhh lohhh knp ga valid Mulu,2025-10-06 07:20:09,,0,83963fef-3685-40e9-a184-c91ece3e3917
Elly Ezra,5,netflix seru yang drama,2025-10-06 07:10:23,,0,bd24660f-f114-4bf9-88d4-ceb2459a5599
Hera Yunata,5,Mantap,2025-10-06 05:47:15,,0,39370f7f-d453-486b-b2c2-9d7267e9916a
Martin,1,"kok ga bisa streaming ya ? check jaringan oke, wifi lancar, video muter2, sudah selesai muter tidak muncul2 videonya?? makin ga jelas apk",2025-10-06 05:46:24,,0,2971ef2b-ad7d-4b82-9629-b8110718567a
M. Rifki Ferdiansyah,5,"Tambahin fitur tonton nanti dong min, fitur daftar saya pantesnya cuman buat film yang favorite banget filmnya",2025-10-06 03:58:28,,0,0ef3191c-efda-421a-94ac-663dddd564f8
Habiburrahman Elshirazyyy,1,"aneh banget, tiba tiba saldo saya terpotong dan transaksi munujukan berlangganan dengan netflix, saya tidak pernah pakai netflix, tidak punya akun, kenapa saldo saya bisa terpotong tiba tiba, ANEH BANGET",2025-10-06 03:12:45,,0,37087e76-a1af-4d75-82b1-3f430a2542bc
Alpian,1,jangan download aplikasi ngk jelas,2025-10-06 00:00:11,,0,256d7f63-eb50-4442-96bc-866ffc7c2610
Garou Toriyama,1,trash streaming,2025-10-05 23:34:04,,0,9b3129fb-6e1f-4a65-9740-ca71175044b2
Buk Desy,5,Buk dys,2025-10-05 23:01:08,,0,cac03699-6f65-45b9-8383-d3331fb43244
Dina maulana,5,ok,2025-10-05 23:00:17,,0,96ea85ab-47ff-44c1-a90e-b8e42e811533
Zeefanya Bellia Qeeran Prayogo,5,bagus aja,2025-10-05 16:25:06,,0,0cf265b9-2a79-4e8b-8e1c-6c6b5be577e5
Alfaqir lukman bin Tatang,5,mudah dan update vidionya,2025-10-05 13:07:15,,0,a4bc410d-a3f2-49e8-9d2c-5725ba54ea01
roihan 01,4,cukup menarik tapi kalau mau premium bukan 1 bayar aku maunya sekali bayar.,2025-10-05 13:03:35,,0,8552067f-d932-43fa-b24c-50967c26b435
Mochamad Rudiasnawan,5,ok,2025-10-05 11:54:40,,0,997e81a4-c6f2-4035-bc95-ac09be4ad726
Qfficialyari _STeh,1,"Disuruh bayar ., Daftar aja suruh bayar. Gw kira ada yang free watch.",2025-10-05 11:26:30,,0,48098fe4-3215-4338-ad30-5db698baf9c8
Willbrordus Wolo domaking,5,tolong tambahkan film detective Conan terbaru,2025-10-05 09:46:52,,0,26891b72-278b-4557-ba6a-338d2755d0c7
